iter,fitness,time,XPL,XPT,DIV
0,23331.0,0.115,100.0,0.0,0.49
1,17906.0,0.839,95.71,4.29,0.469
2,13641.0,1.22,86.12,13.88,0.422
3,10392.0,0.955,74.69,25.31,0.366
4,7769.0,1.027,63.67,36.33,0.312
5,6660.0,1.209,53.88,46.12,0.264
6,4676.0,1.423,45.31,54.69,0.222
7,3852.0,1.746,38.98,61.02,0.191
8,3044.0,1.873,33.06,66.94,0.162
9,2486.0,1.902,28.37,71.63,0.139
10,2120.0,1.949,24.08,75.92,0.118
11,1643.0,2.032,20.41,79.59,0.1
12,1292.0,2.115,17.35,82.65,0.085
13,806.0,2.047,14.69,85.31,0.072
14,803.0,2.404,12.45,87.55,0.061
15,786.0,2.059,10.82,89.18,0.053
16,720.0,1.996,9.18,90.82,0.045
17,603.0,1.995,7.96,92.04,0.039
18,600.0,1.865,7.14,92.86,0.035
19,590.0,2.014,6.53,93.47,0.032
20,589.0,2.225,6.12,93.88,0.03
21,555.0,2.026,5.51,94.49,0.027
22,553.0,2.294,5.1,94.9,0.025
23,546.0,2.026,4.9,95.1,0.024
24,542.0,2.019,4.69,95.31,0.023
25,539.0,2.045,4.49,95.51,0.022
26,539.0,1.989,4.29,95.71,0.021
27,535.0,2.223,4.08,95.92,0.02
28,535.0,1.991,4.08,95.92,0.02
29,535.0,2.035,3.88,96.12,0.019
30,535.0,2.103,3.67,96.33,0.018
31,535.0,1.937,3.67,96.33,0.018
32,535.0,2.212,3.47,96.53,0.017
33,535.0,2.274,3.47,96.53,0.017
34,535.0,2.036,3.27,96.73,0.016
35,528.0,2.449,3.27,96.73,0.016
36,528.0,2.155,3.06,96.94,0.015
37,528.0,1.99,3.06,96.94,0.015
38,528.0,2.028,2.86,97.14,0.014
39,528.0,2.079,2.86,97.14,0.014
40,528.0,1.969,2.86,97.14,0.014
41,528.0,2.009,3.06,96.94,0.015
42,528.0,1.949,2.86,97.14,0.014
43,528.0,2.014,2.86,97.14,0.014
44,528.0,2.232,2.86,97.14,0.014
45,528.0,2.008,2.86,97.14,0.014
46,528.0,2.248,2.65,97.35,0.013
47,528.0,2.096,2.65,97.35,0.013
48,528.0,2.216,2.65,97.35,0.013
49,528.0,2.027,2.65,97.35,0.013
50,528.0,2.021,2.65,97.35,0.013
51,528.0,1.967,2.45,97.55,0.012
52,528.0,2.326,2.45,97.55,0.012
53,523.0,2.24,2.45,97.55,0.012
54,523.0,2.003,2.45,97.55,0.012
55,523.0,2.154,2.45,97.55,0.012
56,523.0,2.017,2.24,97.76,0.011
57,523.0,2.215,2.24,97.76,0.011
58,523.0,2.048,2.24,97.76,0.011
59,523.0,2.1,2.24,97.76,0.011
60,523.0,2.093,2.24,97.76,0.011
61,523.0,2.309,2.24,97.76,0.011
62,523.0,2.259,2.24,97.76,0.011
63,523.0,1.957,2.24,97.76,0.011
64,523.0,2.017,2.24,97.76,0.011
65,523.0,1.976,2.24,97.76,0.011
66,523.0,2.199,2.24,97.76,0.011
67,523.0,1.993,2.24,97.76,0.011
68,523.0,1.849,2.24,97.76,0.011
69,523.0,1.969,2.24,97.76,0.011
70,523.0,2.397,2.24,97.76,0.011
71,523.0,2.122,2.04,97.96,0.01
72,523.0,2.311,2.04,97.96,0.01
73,523.0,2.015,2.04,97.96,0.01
74,523.0,2.563,2.04,97.96,0.01
75,523.0,2.011,2.04,97.96,0.01
76,523.0,1.96,2.04,97.96,0.01
77,523.0,1.918,2.04,97.96,0.01
78,523.0,2.0,1.84,98.16,0.009
79,523.0,2.208,1.84,98.16,0.009
80,523.0,2.071,1.84,98.16,0.009
81,523.0,1.958,1.84,98.16,0.009
82,523.0,2.193,1.84,98.16,0.009
83,523.0,2.028,1.84,98.16,0.009
84,523.0,1.974,1.84,98.16,0.009
85,523.0,1.987,1.84,98.16,0.009
86,523.0,1.963,1.84,98.16,0.009
87,523.0,2.03,1.84,98.16,0.009
88,523.0,2.264,1.84,98.16,0.009
89,523.0,2.195,1.84,98.16,0.009
90,523.0,1.983,1.84,98.16,0.009
91,523.0,2.386,1.84,98.16,0.009
92,523.0,1.951,1.84,98.16,0.009
93,523.0,2.467,1.84,98.16,0.009
94,523.0,2.221,1.63,98.37,0.008
95,523.0,2.169,1.84,98.16,0.009
96,523.0,2.47,1.84,98.16,0.009
97,523.0,2.924,1.63,98.37,0.008
98,523.0,2.72,1.63,98.37,0.008
99,523.0,2.625,1.63,98.37,0.008
100,523.0,2.623,1.63,98.37,0.008
101,523.0,2.397,1.63,98.37,0.008
