iter,fitness,time,XPL,XPT,DIV
90,522.0,2.287,1.63,98.37,0.008
91,522.0,2.352,1.63,98.37,0.008
92,522.0,2.204,1.63,98.37,0.008
93,522.0,2.057,1.63,98.37,0.008
94,522.0,2.534,1.63,98.37,0.008
95,522.0,2.245,1.63,98.37,0.008
96,522.0,2.435,1.63,98.37,0.008
97,522.0,2.795,1.43,98.57,0.007
98,522.0,2.186,1.63,98.37,0.008
99,522.0,2.191,1.43,98.57,0.007
100,522.0,2.404,1.43,98.57,0.007
101,522.0,2.165,1.43,98.57,0.007
102,522.0,2.274,1.43,98.57,0.007
103,522.0,2.064,1.43,98.57,0.007
104,522.0,2.388,1.43,98.57,0.007
105,522.0,2.113,1.43,98.57,0.007
106,522.0,2.492,1.43,98.57,0.007
107,522.0,2.252,1.43,98.57,0.007
108,522.0,3.205,1.43,98.57,0.007
109,522.0,2.687,1.43,98.57,0.007
110,522.0,2.505,1.43,98.57,0.007
111,522.0,2.434,1.43,98.57,0.007
112,522.0,2.408,1.43,98.57,0.007
113,522.0,2.31,1.43,98.57,0.007
114,522.0,2.781,1.43,98.57,0.007
115,522.0,2.271,1.43,98.57,0.007
116,522.0,3.282,1.43,98.57,0.007
117,522.0,3.057,1.43,98.57,0.007
118,522.0,3.107,1.43,98.57,0.007
119,522.0,2.191,1.43,98.57,0.007
120,522.0,2.571,1.43,98.57,0.007
121,522.0,2.672,1.43,98.57,0.007
122,522.0,2.299,1.43,98.57,0.007
123,522.0,2.462,1.43,98.57,0.007
124,522.0,2.086,1.43,98.57,0.007
125,522.0,2.104,1.43,98.57,0.007
126,522.0,2.228,1.63,98.37,0.008
127,522.0,2.457,1.63,98.37,0.008
128,522.0,2.163,1.43,98.57,0.007
129,522.0,2.22,1.63,98.37,0.008
130,522.0,3.438,1.63,98.37,0.008
131,522.0,2.784,1.63,98.37,0.008
132,522.0,2.86,1.63,98.37,0.008
133,522.0,2.168,1.63,98.37,0.008
134,522.0,2.154,1.43,98.57,0.007
135,522.0,2.078,1.63,98.37,0.008
136,522.0,2.455,1.63,98.37,0.008
137,522.0,2.154,1.43,98.57,0.007
138,522.0,2.973,1.43,98.57,0.007
139,522.0,3.039,1.43,98.57,0.007
140,522.0,2.582,1.43,98.57,0.007
141,522.0,2.439,1.43,98.57,0.007
142,522.0,2.089,1.43,98.57,0.007
143,522.0,2.202,1.43,98.57,0.007
144,522.0,2.496,1.43,98.57,0.007
145,522.0,2.127,1.43,98.57,0.007
146,522.0,2.408,1.43,98.57,0.007
147,522.0,2.134,1.43,98.57,0.007
148,522.0,2.412,1.43,98.57,0.007
149,522.0,2.468,1.43,98.57,0.007
150,522.0,2.257,1.43,98.57,0.007
151,522.0,2.645,1.43,98.57,0.007
152,522.0,2.205,1.43,98.57,0.007
153,522.0,2.216,1.43,98.57,0.007
154,522.0,2.166,1.43,98.57,0.007
155,522.0,2.523,1.43,98.57,0.007
156,522.0,2.657,1.43,98.57,0.007
157,522.0,2.18,1.43,98.57,0.007
158,522.0,2.344,1.43,98.57,0.007
159,522.0,2.416,1.43,98.57,0.007
160,522.0,2.882,1.43,98.57,0.007
161,522.0,2.406,1.63,98.37,0.008
162,522.0,2.452,1.63,98.37,0.008
163,522.0,2.452,1.63,98.37,0.008
164,522.0,2.234,1.43,98.57,0.007
165,522.0,2.343,1.63,98.37,0.008
166,522.0,2.288,1.63,98.37,0.008
167,522.0,2.247,1.63,98.37,0.008
168,522.0,2.184,1.63,98.37,0.008
169,522.0,2.226,1.63,98.37,0.008
170,522.0,2.331,1.43,98.57,0.007
171,522.0,2.237,1.43,98.57,0.007
172,522.0,2.278,1.43,98.57,0.007
173,522.0,2.177,1.43,98.57,0.007
174,522.0,2.537,1.43,98.57,0.007
175,522.0,2.099,1.43,98.57,0.007
176,522.0,2.378,1.63,98.37,0.008
177,522.0,2.334,1.43,98.57,0.007
178,522.0,2.304,1.43,98.57,0.007
179,522.0,2.278,1.43,98.57,0.007
180,522.0,2.158,1.43,98.57,0.007
181,522.0,2.704,1.43,98.57,0.007
182,522.0,2.748,1.43,98.57,0.007
183,522.0,2.183,1.43,98.57,0.007
184,522.0,2.294,1.43,98.57,0.007
185,522.0,2.327,1.43,98.57,0.007
186,522.0,2.092,1.43,98.57,0.007
187,522.0,2.21,1.43,98.57,0.007
188,522.0,2.147,1.43,98.57,0.007
189,522.0,2.128,1.63,98.37,0.008
190,522.0,2.437,1.63,98.37,0.008
191,522.0,2.356,1.63,98.37,0.008
192,522.0,2.579,1.63,98.37,0.008
193,522.0,2.516,1.63,98.37,0.008
194,522.0,2.238,1.63,98.37,0.008
195,522.0,3.346,1.63,98.37,0.008
196,522.0,4.335,1.43,98.57,0.007
197,522.0,2.714,1.43,98.57,0.007
198,522.0,2.745,1.43,98.57,0.007
199,522.0,2.323,1.43,98.57,0.007
200,522.0,2.386,1.43,98.57,0.007
201,522.0,2.849,1.63,98.37,0.008
202,522.0,2.598,1.43,98.57,0.007
203,522.0,2.829,1.43,98.57,0.007
204,522.0,3.831,1.43,98.57,0.007
205,522.0,2.495,1.63,98.37,0.008
206,522.0,2.682,1.63,98.37,0.008
207,522.0,2.729,1.63,98.37,0.008
208,522.0,2.108,1.63,98.37,0.008
209,522.0,2.858,1.63,98.37,0.008
210,522.0,2.584,1.43,98.57,0.007
211,522.0,2.448,1.63,98.37,0.008
