iter,fitness,time,XPL,XPT,DIV
0,22998.0,0.103,100.0,0.0,0.49
1,17216.0,0.733,94.49,5.51,0.463
2,12763.0,0.773,82.45,17.55,0.404
3,9432.0,0.865,69.59,30.41,0.341
4,6854.0,1.359,57.55,42.45,0.282
5,5301.0,1.953,47.76,52.24,0.234
6,3977.0,1.681,40.0,60.0,0.196
7,3079.0,2.308,33.06,66.94,0.162
8,2303.0,2.199,27.35,72.65,0.134
9,1754.0,2.086,22.65,77.35,0.111
10,1416.0,2.614,18.57,81.43,0.091
11,1284.0,2.123,15.92,84.08,0.078
12,575.0,2.401,13.06,86.94,0.064
13,573.0,2.138,10.82,89.18,0.053
14,573.0,2.318,9.39,90.61,0.046
15,568.0,2.174,7.96,92.04,0.039
16,568.0,2.076,6.94,93.06,0.034
17,561.0,2.096,6.33,93.67,0.031
18,548.0,2.375,5.71,94.29,0.028
19,548.0,2.208,5.31,94.69,0.026
20,548.0,2.423,4.9,95.1,0.024
21,546.0,2.107,4.69,95.31,0.023
22,541.0,2.435,4.29,95.71,0.021
23,541.0,2.16,4.08,95.92,0.02
24,540.0,2.167,3.88,96.12,0.019
25,535.0,2.074,3.67,96.33,0.018
26,533.0,2.525,3.67,96.33,0.018
27,532.0,2.135,3.47,96.53,0.017
28,530.0,2.48,3.47,96.53,0.017
29,530.0,2.162,3.27,96.73,0.016
30,529.0,2.234,3.27,96.73,0.016
31,529.0,2.067,3.27,96.73,0.016
32,529.0,2.103,3.06,96.94,0.015
33,529.0,2.112,3.06,96.94,0.015
34,529.0,2.063,2.86,97.14,0.014
35,529.0,2.192,2.86,97.14,0.014
36,529.0,2.025,2.86,97.14,0.014
37,529.0,2.139,2.86,97.14,0.014
38,529.0,2.107,2.65,97.35,0.013
39,529.0,2.047,2.65,97.35,0.013
40,529.0,2.393,2.65,97.35,0.013
41,529.0,2.061,2.65,97.35,0.013
42,529.0,2.126,2.45,97.55,0.012
43,529.0,2.523,2.45,97.55,0.012
44,529.0,2.14,2.45,97.55,0.012
45,529.0,2.258,2.24,97.76,0.011
46,529.0,3.462,2.24,97.76,0.011
47,529.0,3.609,2.24,97.76,0.011
48,529.0,3.426,2.24,97.76,0.011
49,529.0,2.314,2.24,97.76,0.011
50,529.0,2.058,2.24,97.76,0.011
51,529.0,2.098,2.04,97.96,0.01
52,527.0,2.37,2.04,97.96,0.01
53,527.0,2.611,2.04,97.96,0.01
54,527.0,2.082,2.04,97.96,0.01
55,527.0,2.583,2.04,97.96,0.01
56,527.0,3.572,2.04,97.96,0.01
57,525.0,2.534,2.04,97.96,0.01
58,525.0,2.678,2.04,97.96,0.01
59,522.0,2.114,2.04,97.96,0.01
60,522.0,3.476,1.84,98.16,0.009
61,522.0,3.17,1.84,98.16,0.009
62,522.0,2.439,1.84,98.16,0.009
63,522.0,2.138,1.84,98.16,0.009
64,522.0,2.795,1.84,98.16,0.009
65,522.0,2.264,1.84,98.16,0.009
66,522.0,2.602,1.84,98.16,0.009
67,522.0,2.445,1.84,98.16,0.009
68,522.0,2.429,1.84,98.16,0.009
69,522.0,2.502,1.84,98.16,0.009
70,522.0,2.469,1.84,98.16,0.009
71,522.0,2.296,1.84,98.16,0.009
72,522.0,2.392,1.84,98.16,0.009
73,522.0,2.416,1.84,98.16,0.009
74,522.0,2.147,1.84,98.16,0.009
75,522.0,2.239,1.84,98.16,0.009
76,522.0,2.416,1.84,98.16,0.009
77,522.0,2.225,1.84,98.16,0.009
78,522.0,2.191,1.84,98.16,0.009
79,522.0,2.512,1.84,98.16,0.009
80,522.0,2.273,1.84,98.16,0.009
81,522.0,2.474,1.84,98.16,0.009
82,522.0,2.116,1.84,98.16,0.009
83,522.0,2.549,1.84,98.16,0.009
84,522.0,2.158,1.84,98.16,0.009
85,522.0,2.144,1.63,98.37,0.008
86,522.0,2.287,1.84,98.16,0.009
87,522.0,2.235,1.63,98.37,0.008
88,522.0,2.357,1.84,98.16,0.009
89,522.0,2.735,1.63,98.37,0.008
